# 这是王文倩同学提供的自定义的椭球参数投影文件
#数据文件中的 # : , 均应为英文字符
#可以忽略0个空格的行
#可以忽略有多个空格的行
#CS 指定坐标系 BJ54 XA80 CGCS2000 WGS84 CS00 
#CS: BJ54
#CS: XA80
#CS: CGCS2000
#CS: WGS84
CS: CS00, 6379344.2960, 298.3  
# 此处利用系统默认角度数据格式为D.MMSS, 而且后设置角度格式，而将此处定义为106度25分
L0: 106.25
YKM: 500
N: 35

#FORMAT: BL or XY or BLXY or XYBL
FORMAT: BL

# 角度的单位， 默认为 D.MMSS
# ANGLE : DEGREE D.MMSSS RADIAN 
ANGLE: DEGREE

#点名, B, L
GPSⅠ029,	26.06223855,	106.5443234
GPSⅠ030,	26.05893565,	106.5408869
GPSⅠ031,	26.04130707,	106.5263411
GPSⅠ032,	26.03843349,	106.5228022
GPSⅠ033,	26.03516202,	106.5187807
GPSⅠ034,	26.03422833,	106.5131571
GPSⅠ035,	26.03048905,	106.5091087
GPSⅠ036,	26.0285772	,    106.5038163
GPSⅠ037,	26.0230646	,    106.4947102
GPSⅠ038,	26.02480044,	106.4994983
GPSⅠ039,	26.02073533,	106.4901012
GPSⅠ040,	26.01725564,	106.4866764
GPSⅠ041,	25.51088211,	105.8122535
GPSⅠ042,	25.50797102,	105.8064655
GPSⅠ043,	25.50419715,	105.8016341
GPSⅠ044,	25.49869984,	105.798176
GPSⅠ045,	25.49513545,	105.7930819
GPSⅠ046,	25.49241206,	105.7905374
GPSⅠ047,	25.4884386	,    105.78856
GPSⅠ048,	25.48486335,	105.7891469
GPSⅠ049,	25.47696835,	105.7871911
GPSⅠ050,	25.47171876,	105.787283
GPSⅠ051,	26.01096747,	106.4726758
GPSⅠ052,	26.00884706,	106.468352
GPSⅠ053,	26.00306794,	106.4674366
GPSⅠ054,	25.99840827,	106.4651219
GPSⅠ055,	25.99505849,	106.460716
GPSⅠ056,	25.99213042,	106.4559798
GPSⅠ057,	25.98964036,	106.4514295
GPSⅠ058,	25.98805777,	106.4485249
GPSⅠ059,	25.98855466,	106.443443
GPSⅠ060,	25.99167758,	106.4392837
GPSⅠ061,	25.99013154,	106.4326052
GPSⅠ062,	25.98754257,	106.416015
GPSⅠ063,	25.98921329,	106.41277
GPSⅠ064,	25.99055945,	106.4057503
GPSⅠ065,	25.99194067,	106.4051788
GPSⅠ066,	25.99904651,	106.398238
GPSⅠ067,	25.99998442,	106.3918812
GPSⅠ068,	26.00000045,	106.3874023
GPSⅠ069,	26.00152977,	106.3845265
GPSⅠ070,	26.00580004,	106.372872
GPSⅠ071,	26.0045327	,    106.3680375
